"","LoanAmount","City","State","Zip","NAICSCode","BusinessType","RaceEthnicity","Gender","Veteran","NonProfit","JobsReported","DateApproved","Lender","CD"
"39",147600,"Pittsburgh","PA",15217,722511,"Limited Liability Partnership","Unanswered","Unanswered","Unanswered","",23,"04/30/2020","First Commonwealth Bank","PA-18"
"40",147580,"BETHEL PARK","PA",15102,621310,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",19,"04/28/2020","Northwest Bank","PA-18"
"41",147500,"Bridgeville","PA",15017,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",21,"04/30/2020","First Commonwealth Bank","PA-18"
"42",147500,"PITTSBURGH","PA",15219,722513,"Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran","",43,"05/03/2020","PNC Bank, National Association","PA-18"
"43",147500,"Pittsburgh","PA",15228,221210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"44",147400,"PITTSBURGH","PA",15222,541870,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",10,"04/16/2020","PNC Bank, National Association","PA-18"
"45",147359,"SEWICKLEY","PA",15143,444220,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",20,"05/07/2020","First National Bank of Pennsylvania","PA-17"
"46",147200,"PITTSBURGH","PA",15201,722511,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"47",147100,"PITTSBURGH","PA",15221,541191,"Corporation","Unanswered","Unanswered","Unanswered","",13,"04/05/2020","First Commonwealth Bank","PA-18"
"48",147100,"SEWICKLEY","PA",15143,541620,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",10,"04/06/2020","First National Bank of Pennsylvania","PA-17"
"49",147100,"MONROEVILLE","PA",15146,621330,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",52,"05/03/2020","PNC Bank, National Association","PA-18"
"50",147100,"PITTSBURGH","PA",15227,999990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"05/03/2020","Citizens Bank, National Association","PA-18"
"51",146885,"LEETSDALE","PA",15056,423120,"Limited  Liability Company(LLC)","Asian","Female Owned","Non-Veteran","",15,"04/28/2020","City National Bank","PA-17"
"52",146869,"WEXFORD","PA",15090,531210,"Corporation","White","Female Owned","Non-Veteran","",1,"04/07/2020","First National Bank of Pennsylvania","PA-17"
"53",146700,"PITTSBURGH","PA",15219,541110,"Corporation","Unanswered","Unanswered","Unanswered","",7,"05/03/2020","PNC Bank, National Association","PA-18"
"54",146675,"PITTSBURGH","PA",15228,541110,"Limited Liability Partnership","Unanswered","Unanswered","Unanswered","",4,"07/24/2020","WesBanco Bank, Inc.","PA-17"
"55",146669,"MONONGAHELA","PA",15063,541199,"Corporation","Unanswered","Unanswered","Unanswered","",21,"04/12/2020","KeyBank National Association","PA-18"
"56",146600,"BADEN","PA",15005,213115,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",12,"04/04/2020","Standard Bank, PaSB","PA-17"
"57",146500,"Pittsburgh","PA",15212,561720,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/16/2020","Citizens Bank, National Association","PA-18"
"58",146500,"Coraopolis","PA",15108,811121,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"59",146300,"Pittsburgh","PA",15216,621610,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/29/2020","Citizens Bank, National Association","PA-17"
"60",146300,"GIBSONIA","PA",15044,722511,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"04/13/2020","First National Bank of Pennsylvania","PA-17"
"61",146300,"PITTSBURGH","PA",15219,523991,"Corporation","Unanswered","Unanswered","Unanswered","",10,"04/15/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"62",146100,"MC DONALD","PA",15057,211120,"Corporation","Unanswered","Unanswered","Unanswered","",0,"07/31/2020","PNC Bank, National Association","PA-18"
"63",146020,"Verona","PA",15147,623311,"Non-Profit Organization","White","Male Owned","Unanswered","Y",20,"04/28/2020","Washington Financial Bank","PA-17"
"64",146000,"Monroeville","PA",15146,541940,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",16,"04/30/2020","South Central Bank, Inc.","PA-18"
"65",145900,"ALLISON PARK","PA",15101,333120,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",8,"04/15/2020","PNC Bank, National Association","PA-17"
"66",145800,"SEWICKLEY","PA",15143,446199,"Partnership","Unanswered","Unanswered","Unanswered","",9,"05/03/2020","PNC Bank, National Association","PA-17"
"67",145800,"Pittsburgh","PA",15211,722511,"Corporation","Unanswered","Male Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"68",145700,"Pittsburgh","PA",15223,621610,"Corporation","Unanswered","Male Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"69",145700,"PITTSBURGH","PA",15219,541110,"Corporation","Unanswered","Unanswered","Unanswered","",7,"04/16/2020","PNC Bank, National Association","PA-18"
"70",145672,"PITTSBURGH","PA",15237,621210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",14,"04/11/2020","KeyBank National Association","PA-17"
"71",145600,"PITTSBURGH","PA",15219,541110,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",12,"04/10/2020","KeyBank National Association","PA-18"
"72",145600,"MONONGAHELA","PA",15063,238160,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",17,"04/16/2020","PNC Bank, National Association","PA-18"
"73",145480,"PITTSBURGH","PA",15237,722511,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",55,"04/14/2020","MVB Bank, Inc.","PA-17"
"74",145400,"PITTSBURGH","PA",15220,541211,"Limited Liability Partnership","Unanswered","Male Owned","Unanswered","",8,"04/11/2020","The Huntington National Bank","PA-18"
"75",145400,"MONROEVILLE","PA",15146,541211,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",8,"04/11/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"76",145400,"Pittsburgh","PA",15201,722511,"Corporation","Unanswered","Unanswered","Unanswered","",20,"04/30/2020","First Commonwealth Bank","PA-18"
"77",145300,"MARS","PA",16046,722511,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",39,"04/08/2020","Enterprise Bank","PA-16"
"78",145200,"PITTSBURGH","PA",15234,236118,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",10,"04/28/2020","PNC Bank, National Association","PA-17"
"79",145200,"Pittsburgh","PA",15217,624190,"Non-Profit Organization","Unanswered","Unanswered","Non-Veteran","Y",19,"05/01/2020","immito, LLC","PA-18"
"80",145100,"SEWICKLEY","PA",15143,621210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",17,"04/16/2020","PNC Bank, National Association","PA-17"
"81",145000,"PITTSBURGH","PA",15222,621111,"Corporation","White","Male Owned","Non-Veteran","",0,"04/12/2020","Citizens Bank, National Association","PA-18"
"82",145000,"MILLVALE","PA",15209,722513,"Corporation","White","Male Owned","Veteran","",66,"04/13/2020","First National Bank of Pennsylvania","PA-17"
"83",145000,"GIBSONIA","PA",15044,811111,"Subchapter S Corporation","White","Male Owned","Unanswered","",13,"04/07/2020","Enterprise Bank","PA-17"
"84",145000,"CORAOPOLIS","PA",15108,238210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",10,"05/03/2020","PNC Bank, National Association","PA-17"
"85",145000,"PITTSBURGH","PA",15234,326199,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",15,"05/03/2020","PNC Bank, National Association","PA-17"
"86",144994,"PITTSBURGH","PA",15209,237310,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",10,"04/11/2020","KeyBank National Association","PA-17"
"87",144800,"Heidelberg","PA",15106,444190,"Subchapter S Corporation","Unanswered","Male Owned","Unanswered","",10,"04/10/2020","First National Bank of Pennsylvania","PA-17"
"88",144800,"MONROEVILLE","PA",15146,541211,"Partnership","Unanswered","Unanswered","Unanswered","",9,"04/15/2020","PNC Bank, National Association","PA-18"
"89",144800,"Bethel Park","PA",15102,423610,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/16/2020","PNC Bank, National Association","PA-18"
"90",144700,"PITTSBURGH","PA",15243,621111,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",11,"04/04/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"91",144700,"PITTSBURGH","PA",15220,561499,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",10,"05/03/2020","PNC Bank, National Association","PA-18"
"92",144300,"Pittsburgh","PA",15222,713930,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"05/11/2020","Citizens Bank, National Association","PA-18"
"93",144130,"Allison Park","PA",15101,238160,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",11,"04/10/2020","JPMorgan Chase Bank, National Association","PA-17"
"94",144100,"GIBSONIA","PA",15044,561730,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",19,"04/16/2020","First Commonwealth Bank","PA-17"
"95",144100,"SOUTH PARK","PA",15129,424690,"Corporation","Unanswered","Unanswered","Unanswered","",4,"04/29/2020","First National Bank of Pennsylvania","PA-18"
"96",144000,"WARRENDALE","PA",15086,531110,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",11,"04/09/2020","First National Bank of Pennsylvania","PA-17"
"97",143900,"NATRONA HEIGHTS","PA",15065,561730,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",14,"04/28/2020","First Commonwealth Bank","PA-17"
"98",143900,"PITTSBURGH","PA",15205,423730,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",8,"05/03/2020","PNC Bank, National Association","PA-17"
"99",143800,"PITTSBURGH","PA",15239,811121,"Limited Liability Partnership","Unanswered","Unanswered","Unanswered","",12,"04/13/2020","S & T Bank","PA-18"
"100",143800,"PITTSBURGH","PA",15203,541110,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",13,"04/28/2020","First Commonwealth Bank","PA-18"
"101",143800,"TURTLE CREEK","PA",15145,624229,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"102",143800,"Pittsburgh","PA",15205,722320,"Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"103",143700,"PITTSBURGH","PA",15222,813410,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",13,"05/03/2020","PNC Bank, National Association","PA-18"
"104",143700,"PITTSBURGH","PA",15241,541611,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",3,"05/03/2020","PNC Bank, National Association","PA-18"
"105",143700,"PITTSBURGH","PA",15222,541611,"Corporation","Unanswered","Unanswered","Unanswered","",7,"05/03/2020","PNC Bank, National Association","PA-18"
"106",143700,"PITTSBURGH","PA",15213,531320,"Corporation","Unanswered","Unanswered","Unanswered","",8,"04/28/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"107",143600,"PITTSBURGH","PA",15234,561499,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",0,"04/30/2020","First National Bank of Pennsylvania","PA-17"
"108",143600,"PITTSBURGH","PA",15215,722511,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",31,"04/05/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"109",143600,"New Kensington","PA",15068,551112,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-14"
"110",143500,"PITTSBURGH","PA",15238,721110,"Partnership","Unanswered","Unanswered","Unanswered","",22,"04/07/2020","First National Bank of Pennsylvania","PA-18"
"111",143424,"Pittsburgh","PA",15236,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",17,"04/29/2020","Northwest Bank","PA-18"
"112",143400,"PITTSBURGH","PA",15238,621210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",12,"04/15/2020","PNC Bank, National Association","PA-18"
"113",143400,"PITTSBURGH","PA",15216,323111,"Corporation","Unanswered","Unanswered","Unanswered","",16,"04/16/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"114",143400,"Cheswick","PA",15024,561311,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",25,"04/30/2020","First Commonwealth Bank","PA-17"
"115",143396,"Sewickley","PA",15143,541191,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",8,"05/03/2020","Bank of America, National Association","PA-17"
"116",143300,"PITTSBURGH","PA",15237,812112,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",27,"04/14/2020","PNC Bank, National Association","PA-17"
"117",143300,"MONROEVILLE","PA",15146,541110,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",9,"05/03/2020","PNC Bank, National Association","PA-18"
"118",143200,"PITTSBURGH","PA",15205,811211,"Subchapter S Corporation","White","Male Owned","Non-Veteran","",11,"04/16/2020","First Commonwealth Bank","PA-17"
"119",143115,"PITTSBURGH","PA",15221,531311,"Limited Liability Partnership","White","Male Owned","Non-Veteran","",15,"08/07/2020","The Huntington National Bank","PA-18"
"120",143000,"PITTSBURGH","PA",15237,484220,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",17,"04/10/2020","KeyBank National Association","PA-17"
"121",143000,"PITTSBURGH","PA",15202,541810,"Corporation","Unanswered","Unanswered","Unanswered","",10,"04/13/2020","PNC Bank, National Association","PA-18"
"122",142800,"PITTSBURGH","PA",15237,238110,"Corporation","Unanswered","Unanswered","Unanswered","",12,"05/03/2020","PNC Bank, National Association","PA-17"
"123",142700,"PITTSBURGH","PA",15219,541611,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",7,"04/09/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"124",142600,"GIBSONIA","PA",15044,541940,"Limited  Liability Company(LLC)","Unanswered","Female Owned","Non-Veteran","",16,"04/08/2020","First National Bank of Pennsylvania","PA-17"
"125",142500,"NEW KENSINGTON","PA",15068,444130,"Corporation","Unanswered","Male Owned","Unanswered","",11,"04/15/2020","First National Bank of Pennsylvania","PA-14"
"126",142500,"PITTSBURGH","PA",15205,423430,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Veteran","",14,"04/15/2020","PNC Bank, National Association","PA-17"
"127",142500,"PITTSBURGH","PA",15203,621320,"Corporation","Unanswered","Unanswered","Unanswered","",14,"04/12/2020","Citizens Bank, National Association","PA-18"
"128",142500,"PITTSBURGH","PA",15232,541940,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/12/2020","Citizens Bank, National Association","PA-18"
"129",142500,"mc kees rocks","PA",15136,722511,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","PNC Bank, National Association","PA-17"
"130",142500,"MARS","PA",16046,722511,"Corporation","White","Male Owned","Non-Veteran","",35,"04/28/2020","First Commonwealth Bank","PA-16"
"131",142400,"Clairton","PA",15025,561312,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",7,"04/13/2020","Readycap Lending, LLC","PA-18"
"132",142355,"WEXFORD","PA",15090,522310,"Corporation","White","Male Owned","Unanswered","",7,"04/15/2020","CNB Bank","PA-17"
"133",142300,"PITTSBURGH","PA",15217,624120,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",0,"04/12/2020","KeyBank National Association","PA-18"
"134",142200,"MCKEESPORT","PA",15135,327991,"Corporation","Unanswered","Unanswered","Unanswered","",18,"04/14/2020","PNC Bank, National Association","PA-18"
"135",142100,"PITTSBURGH","PA",15208,541611,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Veteran","",5,"05/03/2020","PNC Bank, National Association","PA-18"
"136",142047,"PITTSBURGH","PA",15228,722511,"Corporation","Unanswered","Female Owned","Unanswered","",28,"05/15/2020","SSB Bank","PA-17"
"137",142000,"CARNEGIE","PA",15106,561499,"Corporation","Unanswered","Unanswered","Unanswered","",0,"04/10/2020","First National Bank of Pennsylvania","PA-17"
"138",142000,"PITTSBURGH","PA",15213,722511,"Corporation","Unanswered","Unanswered","Unanswered","",25,"04/16/2020","PNC Bank, National Association","PA-18"
"139",142000,"PITTSBURGH","PA",15238,236115,"Corporation","Unanswered","Unanswered","Unanswered","",9,"04/30/2020","PNC Bank, National Association","PA-18"
"140",141960,"PITTSBURGH","PA",15234,453998,"Corporation","White","Female Owned","Unanswered","",21,"04/14/2020","Northwest Bank","PA-17"
"141",141937,"VERONA","PA",15147,811111,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",14,"04/15/2020","SSB Bank","PA-17"
"142",141800,"CUDDY","PA",15031,333112,"Corporation","White","Male Owned","Unanswered","",22,"04/14/2020","The Huntington National Bank","PA-18"
"143",141800,"PITTSBURGH","PA",15220,519120,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",14,"04/15/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"144",141742,"Pittsburgh","PA",15212,541330,"Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran","",22,"04/29/2020","The Huntington National Bank","PA-18"
"145",141700,"PITTSBURGH","PA",15232,621111,"Partnership","Unanswered","Unanswered","Unanswered","",8,"05/03/2020","PNC Bank, National Association","PA-18"
"146",141700,"PITTSBURGH","PA",15217,624410,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",25,"05/03/2020","PNC Bank, National Association","PA-18"
"147",141694,"PITTSBURGH","PA",15220,541990,"Corporation","Unanswered","Unanswered","Unanswered","",35,"05/03/2020","Bank of America, National Association","PA-18"
"148",141675,"CARNEGIE","PA",15106,624410,"Corporation","White","Female Owned","Non-Veteran","",29,"04/27/2020","First National Bank of Pennsylvania","PA-17"
"149",141600,"PITTSBURGH","PA",15237,541990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"05/05/2020","Itria Ventures LLC","PA-17"
"150",141600,"CARNEGIE","PA",15106,541511,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/28/2020","PNC Bank, National Association","PA-17"
"151",141500,"PITTSBURGH","PA",15210,238220,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",13,"04/14/2020","PNC Bank, National Association","PA-18"
"152",141460,"PITTSBURGH","PA",15202,541219,"Subchapter S Corporation","White","Male Owned","Non-Veteran","",9,"04/13/2020","KeyBank National Association","PA-18"
"153",141400,"PITTSBURGH","PA",15222,541430,"Corporation","Unanswered","Male Owned","Non-Veteran","",12,"04/13/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"154",141400,"PITTSBURGH","PA",15234,531120,"Limited Liability Partnership","Unanswered","Unanswered","Unanswered","",14,"04/28/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"155",141300,"PITTSBURGH","PA",15222,311612,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",18,"04/14/2020","PNC Bank, National Association","PA-18"
"156",141300,"OAKMONT","PA",15139,722511,"Subchapter S Corporation","White","Male Owned","Veteran","",34,"04/08/2020","Standard Bank, PaSB","PA-17"
"157",141200,"GIBSONIA","PA",15044,561499,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"04/10/2020","First National Bank of Pennsylvania","PA-17"
"158",141100,"CLAIRTON","PA",15025,238210,"Corporation","White","Female Owned","Non-Veteran","",6,"04/14/2020","The Huntington National Bank","PA-18"
"159",141042.65,"PITTSBURGH","PA",15213,813110,"Non-Profit Organization","Unanswered","Male Owned","Unanswered","Y",11,"04/08/2020","S & T Bank","PA-18"
"160",141000,"ASPINWALL","PA",15215,561499,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",32,"04/29/2020","The Farmers National Bank of Emlenton","PA-17"
"161",141000,"CARNEGIE","PA",15106,238390,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",15,"04/28/2020","Enterprise Bank","PA-17"
"162",140900,"PITTSBURGH","PA",15201,541840,"Corporation","Unanswered","Unanswered","Unanswered","",12,"05/03/2020","PNC Bank, National Association","PA-18"
"163",140900,"PITTSBURGH","PA",15236,238220,"Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran","",15,"04/15/2020","The Huntington National Bank","PA-18"
"164",140700,"PITTSBURGH","PA",15233,339920,"Corporation","Unanswered","Unanswered","Unanswered","",6,"04/16/2020","PNC Bank, National Association","PA-18"
"165",140700,"MCKEESPORT","PA",15132,453220,"Limited  Liability Company(LLC)","White","Female Owned","Non-Veteran","",31,"04/05/2020","The Huntington National Bank","PA-18"
"166",140622,"PITTSBURGH","PA",15239,811212,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",12,"04/10/2020","S & T Bank","PA-18"
"167",140600,"SEWICKLEY","PA",15143,541690,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",4,"05/03/2020","PNC Bank, National Association","PA-17"
"168",140500,"PITTSBURGH","PA",15237,561499,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Unanswered","",0,"04/10/2020","First National Bank of Pennsylvania","PA-17"
